"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Texas_GunsNGod: “Honestly, I don’t know the really know the true difference between a Republican or a Democrat.” That says it all. This…",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380138239004672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","birdman8272",19,TRUE,FALSE,NA,NA
"2","RT @MSNBC: “I have lived twice under martial law, and I have seen how authoritarian, how fascism, how martial law — how dictators begin to…",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380138138292225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IslandprincessO",7456,TRUE,FALSE,NA,NA
"3","Trump Claims He Wants To Help Dreamers Time To Put Up Or Shut Up https://t.co/bBLdL5HhIs",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380138108878849",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","GetAsianNews",0,FALSE,FALSE,NA,NA
"4","RT @AmoneyResists: Donald Trump: “I’m so tough on Russia that my sons set up meetings with Russian lawyers prior to the election who turn o…",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380137991548935",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WashSquareGirl",40,TRUE,FALSE,NA,NA
"5","God bless Trump for his continuing visibility, reinforcing his promise to MAGA..he's doing it<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BD><ed><U+00B7><U+00BD><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> https://t.co/jfvLEfjFTy",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380137844797442",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KAnabeth",0,FALSE,FALSE,NA,NA
"6","RT @nowthisnews: Psychiatrists: President Trump 'is a danger to the public, and the international community.' https://t.co/NhVU4ge6hi",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380137723191297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","daretothink53",16036,TRUE,FALSE,NA,NA
"7","RT @Mikel_Jollett: Mike Pence thinks homosexuality is punished by an eternity in hell.

Trump tried to ban transgender soldiers from the mi…",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380137660248074",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tg_tillman",2229,TRUE,FALSE,NA,NA
"8","President takes credit for Korea talks, then rails against trade deals and Justice Dept. in campaign-style speech https://t.co/XKgqKlP4QH",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380137517481984",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","dharyhoor",0,FALSE,FALSE,NA,NA
"9","RT @tonyposnanski: Yes Donald Trump just got thousands to boo a national event honoring the First Amendment.",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380137102311424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mandari25733571",199,TRUE,FALSE,NA,NA
"10","President takes credit for Korea talks, then rails against trade deals and Justice Dept. in campaign-style speech https://t.co/QbMcO3vda8",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380137022566400",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","olamiiidee",0,FALSE,FALSE,NA,NA
"11","Trump supporter said that they want Peace Nobel giving to Trump as he succeed created two Korean signed peace treat… https://t.co/76IGPuIclD",FALSE,0,NA,2018-04-28 23:59:59,TRUE,NA,"990380136967979014",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dodeik0604",0,FALSE,FALSE,NA,NA
"12","RT @PrincessBravato: Reasonable to be believe that during the trump tower meeting 
The Russians know what was said and given to the trump t…",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380136934531072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WomenSaveUSA",94,TRUE,FALSE,NA,NA
"13","RT @Pink_About_it: I'm so glad Trump skipped the #FakeNewsProm to hold a rally with the dear people of Michigan instead ---

The same Michi…",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380136678789125",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EllieMae62",642,TRUE,FALSE,NA,NA
"14","RT @ddale8: Trump says the employment situation is now so strong that the U.S. needs to allow in low-skill guest workers, but then they hav…",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380136649445376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ian_from_TO",95,TRUE,FALSE,NA,NA
"15","Fox cut Trump off again",FALSE,1,NA,2018-04-28 23:59:59,FALSE,NA,"990380136523481089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KarinaTejas",0,FALSE,FALSE,NA,NA
"16","RT @maggieNYT: There are legitimate reasons to take issue with how Hill folks disseminated info on Jackson. But a) it wasn’t just Tester an…",FALSE,0,NA,2018-04-28 23:59:59,FALSE,NA,"990380136460701697",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Margare57382127",970,TRUE,FALSE,NA,NA
